timestamp,avgHighPrice,avgLowPrice
2025-05-14,66798028,66383466
2025-05-15,66726305,66181009
2025-05-16,67126154,66831462
2025-05-17,68051208,67700358
2025-05-18,67921952,67580768
2025-05-19,67792706,67612233
2025-05-20,68751470,68307052
2025-05-21,69223166,68784008
2025-05-22,68952718,68551951
2025-05-23,69289490,68924678
2025-05-24,69022675,68834981
2025-05-25,68754473,68417570
2025-05-26,68910887,68562294
2025-05-27,67774154,67494496
2025-05-28,66750440,66374632
2025-05-29,66424303,65963695
2025-05-30,65827840,65144912
2025-05-31,66027625,65601438
2025-06-01,65494046,65055414
2025-06-02,64657900,64269067
2025-06-03,65548525,65436341
2025-06-04,65424295,65028272
2025-06-05,65476048,65067014
2025-06-06,64632435,63862949
2025-06-07,64317042,63945896
2025-06-08,64394831,63949599
2025-06-09,63715471,63320678
2025-06-10,63952126,63727427
2025-06-11,63602978,63031555
2025-06-12,63439198,62926408
2025-06-13,63089410,62570755
2025-06-14,64212013,63948421
2025-06-15,64215151,63604731
2025-06-16,63591760,63402038
2025-06-17,64096523,63608494
2025-06-18,63375253,62646684
2025-06-19,63511807,63260387
2025-06-20,62347241,62032185
2025-06-21,61561565,61146617
2025-06-22,61690918,61366439
2025-06-23,62145234,61977833
2025-06-24,62259290,61849006
2025-06-25,62201137,61960483
2025-06-26,62031711,61560672
2025-06-27,61155834,60893748
2025-06-28,60735163,60102673
2025-06-29,60470016,60187504
2025-06-30,61115525,60763835
2025-07-01,61332932,60810905
2025-07-02,60286344,60070974
2025-07-03,60492030,60057911
2025-07-04,60272217,59676146
2025-07-05,59877300,59718422
2025-07-06,60255542,59827846
2025-07-07,60885377,60446395
2025-07-08,61455381,60938108
2025-07-09,60963087,60748629
2025-07-10,60788795,60586864
2025-07-11,60998789,60520498
2025-07-12,61595352,61150805
2025-07-13,61319084,60881510
2025-07-14,61218924,60766957
2025-07-15,60566359,60268363
2025-07-16,59859871,59425033
2025-07-17,60358623,59914662
2025-07-18,61183603,60890755
2025-07-19,61151632,60471766
2025-07-20,61764988,61293913
2025-07-21,61993206,61771901
2025-07-22,61617370,61118887
2025-07-23,61845443,61591645
2025-07-24,62779501,62261438
2025-07-25,62769241,62195452
2025-07-26,63719264,63442366
2025-07-27,62158652,61614146
2025-07-28,62663030,62201113
2025-07-29,62726494,62203185
2025-07-30,62558326,61873807
2025-07-31,62624618,62261426
2025-08-01,61443313,61156373
2025-08-02,61322745,61056173
2025-08-03,61548249,61270621
2025-08-04,62446221,62057787
2025-08-05,62146495,61695322
2025-08-06,61672635,61231131
2025-08-07,61382817,60858739
2025-08-08,61943294,61541344
2025-08-09,62151781,61533750
2025-08-10,61845160,61484859
2025-08-11,62164357,61356331
